no,result,scramble,time,algs,edges,corners,flips,twists,solved_edges,solved_corners,edge_breaks,corner_breaks
29113,20.09,R' B U D' F' B L F U' D2 B2 R' D2 R D2 L2 D2 R' F2 L2 F2,2021-01-09 18:02:26,10,12,6,0,1,0,0,1,0
29115,23.68,D F2 L' B' L' D' F' R' B2 L2 D' B2 U R2 U B2 D' R2 L2 U Fw Uw2,2021-01-09 18:04:26,12,11,7,2,0,0,0,2,0
29116,28.13,R B' L' F2 D2 R' U2 R' F2 L' D2 R B2 D' B L F' D' B2 D2 Rw' Uw2,2021-01-09 18:05:02,11,11,5,0,2,1,0,1,0
29118,21.44,U' R F' U F2 B R F' D R D2 R' L U2 B2 L2 F2 R' F2 B2 U2 Rw2 Uw',2021-01-09 18:07:39,12,11,5,1,2,0,0,1,0
29119,26.52,U L D F2 D' L2 U F2 D2 R2 F2 U B2 L2 R' B' D F' R D' L2 Uw',2021-01-09 18:08:17,11,9,7,2,0,0,0,0,0
29120,24.83,F2 L2 B2 R2 D' R2 D2 R2 U R2 L' B' L2 U' L R' F D' B D' Rw' Uw',2021-01-09 18:09:00,11,11,7,1,0,1,0,2,0
29121,20.78,D2 F2 R B2 F2 D2 L D2 B2 D2 B2 R2 D' F R' U' L2 R U2 B F' Rw2 Uw,2021-01-09 18:10:47,10,12,8,0,0,0,0,1,1
29122,20.93,D2 L2 D2 B' D2 B' D2 B' R2 F D B D F L' B L F D' Rw2 Uw2,2021-01-09 18:11:22,11,11,7,1,0,1,1,2,1
29127,22.03,L' U2 B2 D' B2 R2 D B2 U2 B2 U' F2 U' F D' R U R2 U' R U Fw Uw,2021-01-09 18:15:50,11,10,10,1,0,0,0,0,3
29128,20.16,B2 L2 D2 F L2 B' L2 F2 D2 L2 U' B U F' R' B2 R D2 Rw' Uw,2021-01-09 18:16:26,9,12,6,0,0,1,2,2,1
29129,22.82,R2 B2 F2 D2 B2 L2 R2 D L2 U' F' R' D B D R2 B2 F U2 R Fw' Uw,2021-01-09 18:17:08,12,13,7,1,0,0,0,3,0
29131,23.54,F2 U' B R2 B' D2 F' R2 F' U2 R2 U2 F L' R2 U2 L' B2 D' U2 Rw' Uw',2021-01-09 18:18:56,11,13,5,0,1,0,1,2,0
29133,21.4,L' U' F B D R L2 F' D' B2 U2 B2 R' F2 U2 R F2 L F2 R Rw,2021-01-09 18:22:37,13,11,7,1,2,0,0,1,2
29134,18.77,F2 D F2 U2 F2 L2 F2 U' F2 D' U' L B F2 U B' U' F L B' Rw',2021-01-09 18:23:44,9,9,5,0,1,2,1,0,0
29136,23.95,F2 B' L' U D B2 L U L D2 B2 L2 F D2 B U2 R2 F L2 B Rw' Uw,2021-01-09 18:25:34,11,11,7,1,0,1,0,2,0
29137,22.06,U2 R2 U F2 U' L2 B2 D2 L2 U' F2 U R' B' R2 B2 F' D' R F' L2 Rw' Uw2,2021-01-09 18:26:39,11,11,7,1,0,0,1,1,1
29138,23.91,R2 D2 U2 R2 F' D2 L2 B' F2 L2 F D' L' R D' L2 U B D2 U',2021-01-09 18:27:13,10,12,8,0,0,1,0,2,1
29139,18.72,R' L' F2 D' F' B2 U R2 F' U2 B U2 F U2 F' D2 B U2 F R' Rw,2021-01-09 18:28:16,9,11,7,0,0,1,1,1,1
29143,23.17,L2 B2 L U2 L' D2 L' U2 L U2 B2 R2 B' L2 D2 F' L' R D F2 L' Rw Uw2,2021-01-09 18:31:50,12,13,9,0,0,0,0,2,2
29145,20.29,F' D2 U2 F' D2 F2 D2 L2 F' U2 L2 F R U L U' B D U' B2 U' Rw' Uw',2021-01-09 18:33:26,9,10,8,0,0,1,0,0,1
29146,23.58,F2 R D B2 L U' D' R D R' F2 U2 F' U2 D2 L2 F D2 B2 D2 R2 Fw' Uw2,2021-01-09 18:34:07,12,11,7,1,1,0,0,1,1
29148,18.06,F' U F' U D F D' R2 U D2 F2 L2 B2 R2 F2 L D2 R F2 Rw2,2021-01-09 18:36:23,10,12,6,0,1,1,0,2,0
29149,23.71,D' U2 F2 L' D2 B2 D2 F2 L' R' B2 D2 L B' F2 U L' B2 U2 R2 Fw' Uw2,2021-01-09 18:36:57,12,13,7,0,1,1,0,3,1
29150,22.37,D' L2 U B2 U' R2 B2 U2 L2 U F2 U2 B L D' B R' U2 B2 D L' Fw Uw,2021-01-09 18:38:09,11,11,7,0,1,0,1,0,2
29153,19.78,D2 B' D2 B2 F D2 U2 F' L2 D2 R2 D R2 F L D2 L' F' D U Fw' Uw,2021-01-09 18:40:08,10,10,8,1,0,0,0,0,1
29154,21.77,U' F2 D' F2 L2 U R2 D L2 U2 L2 F U2 R B' U2 R' D' F2 D2 Rw',2021-01-09 18:40:42,10,12,8,0,0,0,0,1,1
29155,20.74,L2 D L2 D R2 F2 U' F2 U2 B2 U' F' D L F2 L U' R' B2 U' R' Rw,2021-01-09 18:41:17,10,11,7,0,0,1,1,1,1
29158,20.76,R2 L' D' R' L2 D F B U F2 U2 F2 R2 U' R2 D' R2 U2 L2 D' Rw' Uw,2021-01-10 13:26:35,10,12,8,0,0,0,0,1,1
29163,22.8,D2 B' U' D R2 L B L2 U2 L2 D' F2 B2 R2 F2 D R2 U L B' Fw Uw2,2021-01-10 13:30:40,11,13,5,0,1,0,1,2,0
29164,25.3,U' R' L U' F' D2 F' U' R2 L2 U' R2 D F2 L2 D L2 D L D Rw Uw,2021-01-10 13:31:14,11,13,9,0,0,0,0,2,2
29165,29.1,D' L2 F2 D' R2 B2 R2 D2 B2 F2 R' F2 U R2 U2 B D B' R2 U Uw',2021-01-10 13:32:58,11,11,7,0,1,1,0,1,1
29166,21.48,U2 R' L' B R2 L D' R' F' R F2 R2 D2 F2 D F2 U F2 B2 L2 B2 Uw,2021-01-10 13:33:53,10,11,9,0,0,1,0,1,2
29168,23.42,R2 D2 B L2 F' U2 B' R2 D2 F U2 B' R D F D F2 D F2 L B2 Fw Uw,2021-01-10 13:36:27,11,13,7,0,0,0,1,2,1
29169,19.4,L B D B2 R' F' D F2 B' L2 U2 B' L2 D2 B D2 L2 D2 R2 U R' Fw Uw2,2021-01-10 13:37:13,9,8,6,2,0,1,1,0,0
29170,25.48,B' L' F' L2 U2 F D2 R2 F2 R2 B L2 R2 B' U R B2 R' B2 L' D' Fw Uw',2021-01-10 13:37:50,11,11,7,1,0,0,1,1,1
29172,21.53,F' R2 D2 U2 F2 R' U2 F2 L F2 L2 R' F' D' U B D R2 U F R' Fw',2021-01-10 13:39:14,11,11,7,1,0,0,0,1,0
29174,23.64,D L F' R U2 B R D' F2 D F2 L2 D L2 U R2 B2 L2 U B' R' Fw' Uw,2021-01-10 13:40:29,11,11,9,0,0,0,0,0,2
29175,21.41,F L B2 D B2 U L2 U2 R2 D' R2 D R D U' L F' D' L2 B2 Fw Uw,2021-01-10 13:41:05,11,10,6,2,1,0,1,1,1
29177,24.83,L' U2 R2 B' L2 F' D2 L2 R2 B2 U2 F L' D L' R2 B' D' B2 R Fw' Uw2,2021-01-10 13:42:17,12,11,7,1,1,0,0,1,1
29179,22.79,F2 U2 F' D2 U2 B U2 R2 U2 F' D2 B D' B' U' L2 R' B D' L D2 Fw' Uw2,2021-01-10 13:43:44,12,10,4,2,3,0,0,1,0
29183,27.32,U2 L D2 L2 U R2 U' B2 D' U2 L2 R2 F2 U R' B' F' R F2 R2 U2 Fw' Uw,2021-01-10 13:47:17,12,13,7,0,1,0,0,2,1
29185,23.58,F D U2 L2 F2 L2 U' B2 L2 D2 R' D2 F' D2 F2 L' U2 B2 F' Rw' Uw2,2021-01-10 13:48:42,10,12,8,0,0,0,0,1,1
29189,23.2,B L U B2 U2 F2 D' L2 U2 F2 U R2 F' D2 R F' D2 F2 D2 U' F Uw2,2021-01-11 15:53:24,11,12,8,0,1,0,0,1,2
29190,21.85,F' L2 U' D R D2 F D L U2 L2 F2 R2 U2 R2 D B2 D B2 R2 L2 Rw2 Uw,2021-01-11 15:54:15,10,10,8,1,0,1,0,1,1
29191,19.93,L F2 U R2 U' L2 B2 R2 U2 L2 U2 F2 L' D B2 F' R B D2 B2 Fw' Uw2,2021-01-11 15:55:14,10,11,7,0,0,1,0,1,0
29194,20.59,B' R D' L2 B2 U2 L2 F2 D' L2 B2 U' L' U' F2 U2 F L' U B Rw Uw2,2021-01-11 15:57:00,10,12,6,0,1,0,0,1,0
29200,27.06,R D2 L2 U2 L2 B' U2 B' R2 F L2 B' D' U' F R' B2 L' D2 R Fw Uw',2021-01-11 16:01:45,13,9,7,3,1,0,0,1,1
29201,18.9,U F U2 B2 R2 D L2 F2 R2 F2 U B2 D B2 L B U' B' F R2 Rw' Uw',2021-01-11 16:02:23,9,12,6,0,0,0,1,1,0
29202,22.54,F L2 B2 R' F R2 U L' D F2 L' D2 L D2 B2 R F2 L B2 Uw',2021-01-11 16:02:54,11,13,7,0,0,0,0,2,0
29203,21.16,L2 D2 F D2 B' R2 B' U2 L2 R2 F' L' D' F' D' B2 D' U B R U Uw',2021-01-11 16:03:27,11,12,6,1,1,1,0,3,0
29205,23.12,B D2 F' L2 B' L2 F' D2 U2 R2 D2 B2 L B' F' U' B' F2 L U' R Fw' Uw2,2021-01-11 16:04:35,10,9,7,1,1,1,0,0,1
29206,20.6,B D L' F2 U' R2 D2 L2 B2 R2 B2 U R2 U2 F' D' B2 R D B2 F Rw' Uw,2021-01-11 16:05:13,10,12,8,0,0,1,0,2,1
29208,22.95,F2 D2 L' F2 R B2 R' U2 B2 D2 R2 D2 U F2 R D U2 F' U' F2 L Uw,2021-01-11 16:06:29,10,12,8,0,0,0,0,1,1
29212,19.96,U2 R2 F D2 L2 F' U2 F2 L2 U2 B' D L2 F D' U2 L' F2 D2 L2 Rw' Uw,2021-01-11 16:10:02,10,11,5,0,1,1,1,1,0
29213,19.99,L D F R D2 F2 B U R D2 R2 B2 U2 R2 D' R2 D2 F2 D2 Fw Uw,2021-01-11 16:10:34,10,8,6,2,1,1,0,0,0
29215,21.94,L2 B D B2 U L2 F2 L2 B2 U' F2 D' L2 R' U2 L D L D' B' D' Rw',2021-01-11 16:11:54,10,11,7,0,1,0,0,0,1
29217,22.82,B2 U2 B D2 B' R2 D2 F2 R2 F L' F' U' L' D' B' U F R2 Rw2 Uw2,2021-01-11 16:13:11,11,11,7,0,1,0,0,0,1
29219,21.61,U' R U' L2 D2 B2 R2 F2 L2 U F2 U2 F2 L2 B' F' L' D2 U' L2 U2 Uw',2021-01-11 16:14:21,11,13,7,0,0,0,0,2,0
29221,20.84,F' R F2 U2 B' R2 D2 R2 F2 U2 B2 U2 F U' B' R2 U' R U2 L' Rw2,2021-01-11 16:15:40,11,11,7,0,1,1,0,1,1
29222,21.53,B' R' U B U F2 D2 B' R' F' D2 B' U2 B L2 B' D2 L2 B2 D2 Fw' Uw2,2021-01-11 16:16:23,9,10,8,0,0,2,0,1,1
29225,17.26,U R B D2 L2 U L' F R2 U' F2 L2 F2 B2 D B2 U' B2 D B Rw Uw2,2021-01-11 16:22:30,9,10,8,0,0,1,0,0,1
29227,21.31,R2 U' D' R' F R2 B U F2 L2 D2 B2 D' R2 L2 D' L2 U L2 F' U2 Rw2 Uw',2021-01-11 16:23:38,12,13,7,0,1,0,0,2,1
29228,21.4,D2 F2 R L2 U2 L B' F2 U L2 F2 R2 B2 D R2 D R2 L U Rw' Uw,2021-01-11 16:24:10,10,10,10,1,0,1,0,1,3
29230,23.15,L2 B2 D' R2 D U2 L2 U2 R2 B2 U' F2 R F' R B' D R B' D2 U' Uw,2021-01-11 16:25:36,10,10,8,1,0,0,0,0,1
29231,21.6,R D' L' B2 D' B2 U' B2 F2 D' L2 D2 B2 U' L' D B D L' F' R Fw Uw2,2021-01-11 16:26:12,11,11,7,1,0,0,0,1,0
29233,20.61,L2 D' F2 R2 B2 L2 D' L2 D2 B2 R2 L' B2 F L D F D2 B2 R Rw2,2021-01-11 16:27:40,9,12,6,0,0,0,1,1,0
29234,23.62,F' U' D2 F' D2 L2 U2 L2 B F L2 U2 B L R2 U F R' F U' Rw,2021-01-11 16:28:10,12,11,7,1,1,0,0,1,1
29235,20.53,U2 B2 D2 F2 L2 D2 R2 U2 B2 L' B2 F R2 U R F' U' F' U F Rw' Uw2,2021-01-11 16:28:44,10,8,6,2,1,1,0,0,0
29237,19.4,L2 R2 D L2 R2 F2 L2 D2 R2 D U2 R' D L U F2 R' B D2 F2 L Fw' Uw',2021-01-11 16:30:13,10,11,7,0,0,1,1,1,1
29238,20.66,U' D2 R2 D2 U2 F' R2 U2 R2 D2 B U' B2 L B' U B2 R U' F Uw2,2021-01-11 16:30:51,9,10,8,0,0,1,0,0,1
29239,20.86,F2 U2 R2 F2 L2 F' U2 R2 D2 U2 F R' U' R' D B2 L B2 F R2 Rw' Uw2,2021-01-11 16:31:24,11,11,3,2,1,0,3,2,0
29240,23.28,U' R' D' R' F R L B' R L2 F' L2 F U2 F' D2 F' B' L2 D2 L2 Fw Uw2,2021-01-11 16:31:57,12,11,9,1,0,0,0,1,2
29241,21.45,R B' L2 B' D F' D' L' D R2 U2 B R2 D2 F2 D2 B2 L2 D2 F Rw2,2021-01-11 16:32:43,11,12,6,0,2,0,0,1,1
29242,21.89,U D' R' L' F' L2 F U B2 U D2 F2 D F2 R2 D R2 B2 R U2 Rw Uw,2021-01-11 16:33:23,12,11,7,0,2,0,0,0,2
29243,17.9,R2 U2 R' B2 D2 R F2 R2 F2 U2 L2 U2 D' L2 R2 F L' D' R' B' F Fw',2021-01-11 16:33:59,9,6,8,2,0,3,0,0,1
29244,23.41,D L2 D' L2 B2 D2 U R2 F2 U2 F U2 F R F U B R' D2 R' Rw,2021-01-11 16:34:34,11,10,8,2,0,0,0,1,1
29246,18.79,R' U2 L2 F' R2 F2 R2 U2 B' F2 R2 B' U B' U L U' R' D2 Rw,2021-01-11 16:35:51,9,9,7,0,0,2,1,0,1
29249,18.33,D2 R F2 U' R' F' B' D2 R F2 R2 D2 L2 F D2 F D2 L2 U2 F' R2 Fw',2021-01-11 16:38:32,10,12,8,0,0,0,0,1,1
29251,21.02,B' R F2 D2 F2 D' R2 D' B2 U R2 U2 R2 U' F' R D' U2 R2 F' U Rw' Uw,2021-01-11 16:40:25,10,9,7,2,0,0,1,0,1
29252,19.98,B2 L' F' D2 F2 U2 B D2 F U2 B2 U2 L2 U L2 R2 F2 R' F L2 Uw,2021-01-11 16:41:03,10,10,8,1,0,0,0,0,1
29254,19.71,D2 B2 F2 U' R2 B2 D R2 U2 R2 D F2 L F' L B U R F' D' F2 Uw,2021-01-11 16:42:19,11,10,8,2,0,0,0,1,1
29256,21.62,U2 L2 B2 D2 L2 F2 D L2 D R2 L D' B U B' R2 D2 R' B' U' Rw' Uw',2021-01-11 16:44:08,10,12,8,0,0,0,0,1,1
29259,21.35,B2 U L2 D2 L2 F2 U' F2 D2 L2 U B' D2 U' F' L U2 B F D',2021-01-11 16:46:12,11,12,6,0,2,0,0,1,1
29260,19.86,B L2 D2 F2 D2 B' D2 L2 B U2 L2 R' U2 B U F' L' U2 R U Fw',2021-01-11 16:46:52,11,11,9,0,0,0,0,0,2
29263,20.36,F2 U' L2 F2 U R2 D F2 D' B2 L2 D' B L2 B' L' R' B2 R U Rw2 Uw',2021-01-11 16:49:15,10,12,8,0,0,0,0,1,1
29266,17.04,R' F' L2 F' U B U L D' R2 D2 R D2 R B2 L F2 L' F2 R2 Fw Uw',2021-01-11 16:51:10,9,12,6,0,0,1,1,2,0
29267,19.44,B2 D2 B U2 F U2 L2 B' R2 B U2 D F L' B2 D2 F' L D R' Rw2 Uw,2021-01-11 16:51:40,9,10,8,0,0,2,0,1,1
29269,22.07,L' B' D2 F2 U' B L F' L' R2 D L2 U2 F2 L2 U R2 F2 D F2 D' Fw Uw',2021-01-11 16:52:52,12,13,5,0,2,0,0,2,0
29271,22.14,B U2 B' R2 F' U2 F2 D2 F' L2 D2 L' D' B2 L' U' F U2 B' L Fw,2021-01-11 16:54:28,10,10,6,1,1,1,0,1,0
29273,19.37,R' L' U' F' L2 U L B R D2 B2 R' F2 L2 F2 B2 D2 R L2 U2,2021-01-11 16:56:03,9,12,4,0,1,0,2,1,0
29275,22.9,U D' R' D' B' U2 R F2 D R2 B2 U2 F2 L2 D2 R' B2 L B2 R' Uw,2021-01-11 16:57:16,10,11,7,0,0,0,0,0,0
29276,17.68,U' L2 U F2 U B2 U' R2 U' R2 U B' L2 B' D2 L F' R2 D2 R' F Fw Uw,2021-01-11 16:57:49,9,12,6,0,0,0,1,1,0
29277,20.58,U' L U2 L D' L B' L' F L D2 L' U2 L2 D2 B2 R' D2 F2 U2 B2 Uw,2021-01-11 16:58:17,10,10,8,0,1,1,0,0,2
29278,24.3,B2 R' D2 L2 U R2 U' B2 L2 B2 L2 U2 F U' B2 L D2 L2 F Uw',2021-01-11 16:58:54,11,10,8,1,1,1,0,1,2
29279,23.45,L2 B D2 F' U2 R2 F2 D2 L2 U2 F2 R' U' F' D B L B D2 R' B' Rw2 Uw',2021-01-11 16:59:33,11,12,8,1,0,0,0,2,1
29280,24.73,L2 F2 U F2 U' F2 D2 R2 F2 D2 F2 R' B F2 R U' F2 D L B Fw' Uw2,2021-01-11 17:00:08,12,12,8,1,1,0,0,2,2
29281,19.52,D R B' U' D R U' F U D2 F R2 F D2 F L2 D2 B2 U2 F2 Fw,2021-01-11 17:00:45,11,13,7,0,0,1,0,3,0
29284,19.25,D R2 F2 U2 R2 B2 U R2 U2 R B L' U B D2 L' D' F2 U Rw' Uw2,2021-01-11 17:03:12,11,11,7,0,1,0,0,0,1
29288,19.88,L' B2 R' U' F L' B' D R' U2 F2 L2 D2 B2 R' D2 B2 L' D2 F2 Uw,2021-01-12 17:01:42,11,11,5,1,1,0,1,1,0
29290,19.88,L2 U2 L F2 L' D2 B2 D2 L D2 U2 L' F L' D' R' U' R2 U F L2 Fw,2021-01-12 17:03:50,10,10,8,1,0,0,0,0,1
29291,20.66,L' F2 D B2 L2 F2 U' L2 D' L2 D B2 R2 L' F' R2 B' L2 U L2 F Fw Uw2,2021-01-12 17:04:28,11,11,9,0,0,1,0,1,2
29293,23.17,B' R2 D2 R L' F' U L2 F B2 D2 B2 U D2 B2 R2 U2 R2 D R2 Rw',2021-01-12 17:06:57,10,11,7,0,0,0,0,0,0
29294,22.68,U' F' D2 R2 U B2 U L2 F2 U L2 U' F2 U' L' F' D2 F2 U' L U2 Uw2,2021-01-12 17:07:39,12,11,5,1,2,0,0,1,0
29299,24.87,F' R2 D' R' D F' B' L F' L2 U2 R2 F' L2 F D2 B' R2 B' D' Rw' Uw',2021-01-12 17:11:25,12,13,7,0,1,0,0,2,1
29301,16.12,U2 R2 F2 R2 B' U2 L2 D2 B2 D2 F U2 D' F L2 R2 U L B' F' D' Uw',2021-01-12 17:13:27,8,10,6,0,0,2,1,1,0
29304,23.53,R2 U F' R U D B' U' R' F2 U2 F2 R2 F2 L U2 F2 B2 Fw' Uw',2021-01-12 17:15:33,11,9,3,2,2,0,2,0,0
29305,19.94,U B2 R' D2 R' F2 U2 R2 D2 F2 L2 F' D' B L' R B' F' R' Uw',2021-01-12 17:16:07,10,12,6,0,1,0,0,1,0
29306,21.23,L2 B2 L2 D2 F2 D B2 D' L2 F2 R2 F2 R B U R2 D L F U2 F Rw' Uw2,2021-01-12 17:16:56,11,10,8,2,0,0,0,1,1
29309,21.8,L2 F2 D2 B' D R' U' D2 F2 U2 F2 R D2 L' B2 U2 L2 D' Rw' Uw,2021-01-12 17:19:44,11,13,5,0,1,0,1,2,0
29312,22.8,F R2 F2 D R2 F2 U' R2 D' F2 U2 R2 F' D2 B R F' D' U L2 Rw2 Uw,2021-01-12 17:22:08,12,11,7,2,0,0,0,2,0
29315,24.68,L D2 F2 L' U' R F U L2 D2 R2 D' L2 U B2 D L2 U2 F2 L' Fw' Uw2,2021-01-12 17:24:49,9,9,5,2,0,1,2,1,0
29318,19.29,B U' F U2 L2 F2 D2 F' L2 F R2 U L2 R F' L R D' B2 Rw2 Uw',2021-01-12 17:26:52,10,12,4,0,2,0,1,1,0
29319,20.62,B U D F D' L U' B' U2 F' L2 F B2 L2 D2 L2 D2 F2 L U' Fw' Uw2,2021-01-12 17:27:58,10,11,7,0,0,0,1,0,1
29328,21.62,L2 B2 F2 U' F2 L2 D' L2 B2 U' B2 U F D' R' F' R' D' B2 L2 B Rw2 Uw',2021-01-13 21:32:58,10,12,6,1,1,0,0,2,0
29334,26.31,L2 F2 U B2 R2 U F2 R2 D2 B2 R2 B D' B' U F L' B' L U L Uw',2021-01-14 16:33:05,13,11,5,1,3,0,0,1,1
29337,17.42,R U2 F' L2 B' D2 U2 R2 B' U2 B' F2 U L F2 R2 U' R2 B D R Rw' Uw,2021-01-14 16:36:18,10,7,5,2,2,3,0,1,0
29341,20.62,B' U2 B2 R2 F' R2 U2 F' D2 B D2 U' R2 B' L B2 L F2 L F' Rw2,2021-01-14 16:39:28,10,12,6,0,1,1,0,2,0
29343,21.69,R2 D F' B' R' L' F2 U' B2 D2 L2 B' D2 F' U2 F R2 D2 F D' Fw' Uw',2021-01-14 16:40:49,11,11,5,0,2,1,0,1,0
29346,21.72,L2 U2 F2 R2 F' L2 B' L2 U2 F2 L D F U R' F' U' R B2 D2 Rw2 Uw',2021-01-14 16:43:12,12,13,9,0,0,1,0,3,2
29347,19.35,B2 F2 R2 D' B2 U2 F2 D' L2 B2 L U2 R2 D' L2 D' F D B' Fw' Uw',2021-01-14 16:43:49,10,12,8,0,0,0,0,1,1
29352,19.93,D' L2 D' L2 U L2 B2 L2 B2 D2 R F' D2 F D' B' L D' Rw Uw2,2021-01-14 16:51:24,11,11,9,0,0,1,0,1,2
29353,21.29,U R' D' B U' B2 D2 R F' D2 R F2 D2 F2 U2 B2 L' F2 B2 U2 Uw,2021-01-14 16:51:58,10,10,8,1,0,0,0,0,1
29357,22.31,L' B2 D B L U' B2 U F' R2 F2 R F2 R2 D2 L' U2 F2 L' F2 L Rw' Uw',2021-01-14 16:55:43,11,11,7,1,0,0,0,1,0
29359,24.66,B F2 L2 B2 L F2 D2 B2 F2 L' B2 R' B U F R2 B' D2 L B' Rw' Uw',2021-01-14 16:57:02,12,12,8,1,1,0,0,2,2
29361,17.86,U' R F2 D L' F' R' L' U B2 U F2 D R2 U' F2 D' R2 U F Rw2,2021-01-14 16:59:08,9,10,6,0,1,1,0,0,0
29362,20.53,F U2 B R2 D2 F' R2 F D2 U2 F2 R' D' B' R2 B2 R' D R Fw Uw,2021-01-14 16:59:38,10,12,8,0,0,0,0,1,1
29364,20.53,D' F U' L2 D' R2 U R2 F2 U' R2 U L R F' D' B2 D U2 R Rw2 Uw',2021-01-14 17:01:31,10,10,8,1,0,0,0,0,1
29365,17.63,L F L2 R2 F2 U' R2 D2 U' R2 B2 D' L' R' U2 F D' B D' Fw,2021-01-14 17:02:03,10,10,6,2,0,1,1,2,0
29367,18.91,R2 D' R2 B2 L2 F2 U2 F2 R2 D F2 D' B F R' B' L2 B L D F' Rw2 Uw,2021-01-14 17:03:21,8,10,6,0,0,1,2,0,1
29368,21.81,U R D' F L' F U2 R' B F2 R2 B2 R2 D' F2 R2 U L2 D Fw',2021-01-14 17:04:04,9,10,6,0,1,1,0,0,0
29372,22.11,D' L2 U' R2 U L2 B2 L2 B2 U2 L2 F' L' D2 B F L F' D R2 Fw' Uw2,2021-01-14 17:06:46,12,11,7,1,1,0,0,1,1
29374,22.43,B' U2 R2 B U2 B2 L2 R2 U2 F2 L' D L' R2 F' D L' F D' Fw' Uw',2021-01-14 17:08:25,11,10,6,1,2,1,0,1,1
29375,20.05,L2 U' F2 R2 U2 B2 D2 U' L2 R2 B R' D' R2 B R2 U' L2 B2 R' Fw' Uw',2021-01-14 17:09:21,9,12,6,0,0,1,1,2,0
29376,21.03,U' R F L F2 L' B D R' U2 F D2 B U2 D2 B2 L2 U2 B R2 Rw Uw,2021-01-14 17:09:54,11,13,7,0,0,0,1,2,1
29379,17.53,U L F B U B L F U2 B2 U2 D2 R2 D2 F' B2 R2 B R2 U' L Rw Uw',2021-01-14 17:11:47,9,10,6,0,1,1,0,0,0
29380,22.7,R2 U2 F2 L2 F2 R2 D2 R F2 D2 B2 F U R F2 U B' U R2 B2 Rw Uw,2021-01-14 17:12:23,10,11,7,0,0,0,1,0,1
29382,21.08,B' L' R2 F' D2 R2 F2 R2 B2 D2 B U2 L2 D2 U R U L' F' L' D2 Fw' Uw2,2021-01-14 17:13:50,10,11,7,0,0,0,1,0,1
29384,23.12,U2 B2 U L2 D2 B2 L2 D' B2 U2 L2 F' L' D R D2 B2 L' F2 D F Fw Uw2,2021-01-14 17:17:38,11,12,8,1,0,0,0,2,1
29389,23.67,U' F' B' L2 U D B U2 R' U' L2 B2 U F2 D' R2 F2 R2 B2 D F2 Rw Uw,2021-01-14 17:21:10,11,9,7,2,0,0,0,0,0
29390,20.04,D2 R U' R2 D R2 L' B R' L2 F' U2 D2 R2 B L2 B2 R2 B L2 Rw2 Uw,2021-01-14 17:21:50,9,12,6,0,0,0,1,1,0
29391,19.03,U2 R' U F R B' R' L' F B2 U2 R2 B2 D L2 U' B2 D' B2 U2 Rw2 Uw',2021-01-14 17:22:22,9,10,8,1,0,0,0,0,1
29393,23.89,F2 U R2 U' B2 U' B2 U2 F R' F2 U B D B' U' B R Uw',2021-01-14 17:23:44,10,7,7,3,0,1,0,0,0
29395,20.2,F2 L U2 D R L F' D2 L D2 F D2 R2 B L2 B2 L2 D2 R2 Rw Uw',2021-01-14 17:25:03,9,10,8,0,0,1,0,0,1
29396,19.04,B2 D2 R2 U' B2 L2 D' F2 R2 D' B R F' R2 B2 L' D' R B2 F2 Rw Uw2,2021-01-14 17:25:38,10,12,8,0,0,0,0,1,1
29397,20.65,F R U F2 D R' B' U L D2 F2 R2 L2 B D2 B' D2 L2 F2 U2 R2 Rw' Uw',2021-01-14 17:26:14,9,10,6,1,0,2,1,2,0
29399,20.97,F' L B2 U2 L2 R2 B' R2 F' D2 U2 B' D2 U2 R' D R2 F2 U2 L B' Rw2 Uw',2021-01-14 17:27:51,10,10,8,1,0,0,0,0,1
29400,17.67,F U' R' B U2 R' B2 U' F2 U2 R2 B' U2 F L2 B U2 L2 F U Rw2 Uw,2021-01-14 17:28:30,9,10,8,0,0,1,0,0,1
29402,21.44,L2 F2 D R2 U2 F2 D' F2 U2 L' F' D2 L B' D2 B L' U2 Rw' Uw,2021-01-14 17:29:59,11,12,8,0,1,1,0,2,2
29403,20.29,L B2 U' F2 U L2 B2 F2 D2 F2 L2 U' B' D' B2 D' F R' B U Rw,2021-01-14 17:30:37,11,10,6,1,2,1,0,1,1
29404,17.83,B2 L' R' D2 L D2 U2 B2 U2 R' B2 F L U2 L D B' R' U2 F' U Rw' Uw',2021-01-14 17:31:10,9,10,8,0,0,1,0,0,1
29407,21.21,D2 B D2 R' F2 U2 R' B2 L2 U2 R D2 L' B U' F' R2 F' D F Fw Uw',2021-01-14 17:33:25,11,11,9,0,0,0,0,0,2
29408,19.4,D2 F2 U' F2 U' B2 F2 U' R2 U2 L2 F' L' D' R2 F' R' U2 F U2 L' Fw Uw2,2021-01-14 17:34:04,10,9,7,1,0,1,0,0,0
29409,18.66,L2 F2 R2 B2 D' U' B2 U' R2 D2 B' D L2 U2 R B2 F2 U F Rw2 Uw,2021-01-14 17:36:28,10,11,7,0,0,2,0,2,0
29413,21.5,U2 F2 R2 D2 F L2 B' U2 R2 F2 L2 R U R2 B2 D F' L' D R Fw Uw',2021-01-14 17:44:01,10,11,7,0,0,0,1,0,1
29415,23.06,U B L2 U L B' D U2 F U2 F L2 U2 F' B' L2 B' U' R Rw Uw,2021-01-14 17:47:09,12,11,9,1,0,0,0,1,2
