no,result,scramble,time,algs,edges,corners,flips,twists,solved_edges,solved_corners,edge_breaks,corner_breaks
28606,22.67,L2 B2 U2 R2 B2 D' F2 R2 D L2 B D' B2 R F' D' B' L F' Rw Uw',2021-01-03 16:40:40,10,12,8,0,0,0,0,1,1
28608,21.82,D2 F B2 R B L2 D B U2 D2 B' D2 F' L2 B U2 B2 U2 R' D Rw Uw2,2021-01-03 16:42:17,10,11,7,0,0,1,0,1,0
28614,22.47,L B2 R D' R B R U' L2 D2 L2 F2 R2 D' L2 D F2 B2 L' F Rw' Uw2,2021-01-03 16:47:56,11,10,8,1,1,1,0,1,2
28615,20.16,L2 U' B2 D2 L2 R2 U' F2 U' L2 U L2 F' R' D' R' U2 R D2 B' U',2021-01-03 16:48:32,10,11,7,0,0,1,0,1,0
28617,25.29,F2 D F2 D2 B2 L2 U' L2 F2 R2 B L U F D2 L2 R D L' F2 Fw Uw',2021-01-03 16:49:56,11,11,5,1,1,0,1,1,0
28618,26.18,D2 L F2 L' B2 L' D2 L B2 L2 F2 D2 F D2 L' U B R2 F U F' Uw,2021-01-03 16:50:37,10,12,8,0,0,0,1,1,2
28619,24.12,R' U2 L2 U2 R2 F D2 U2 B D2 B2 U' R U' B F' L' D F Fw' Uw',2021-01-03 16:51:13,11,13,7,0,0,0,1,2,1
28624,22.66,D2 B F2 D2 F D2 L2 B' L2 R2 F' U B' L U2 B R D' U' B2 Rw' Uw',2021-01-03 16:55:28,11,11,7,1,0,0,1,1,1
28627,20.1,U F' R F2 L' B2 R' D2 B2 R F2 U2 B D' B2 U F2 L' R Uw,2021-01-03 16:57:23,10,10,8,1,0,1,0,1,1
28628,19.42,D2 B2 L2 D' L2 B2 U' B2 D' U2 F2 U R' F D U2 B L' F2 L F2 Rw2 Uw2,2021-01-03 16:57:54,10,12,6,0,1,0,0,1,0
28633,25.07,B' U' R L U L B' R U2 R' D2 B2 U2 L B2 R U2 R' L' U B' Uw2,2021-01-03 17:03:18,11,11,9,0,0,0,0,0,2
28640,24.27,F2 R2 U2 L D2 B2 R2 F2 L' D2 R2 F2 U B' D2 B' L B2 D2 R F' Rw Uw,2021-01-03 17:08:46,11,10,6,1,2,1,0,1,1
28641,21.56,R2 U2 L2 B2 R2 D' L2 U L2 R F D L' U2 F D2 R' D Rw2,2021-01-03 17:09:19,11,13,7,0,0,0,0,2,0
28642,25.66,U2 R' F2 L' B2 L2 F2 U2 L' U2 B2 D' F' U B' D' F' D U' R' D Rw2 Uw2,2021-01-03 17:09:53,11,9,7,1,1,2,0,1,1
28643,19.94,F2 U' D2 F' U' B2 R' D' B R F2 L2 U2 L' F2 U2 F2 L' D2 F2,2021-01-03 17:10:47,9,9,7,1,0,1,1,0,1
28645,20.31,R' U2 F2 U' F U' R2 U' L' U2 F2 R' B2 R F2 B2 R U2 D2 R,2021-01-03 17:12:04,10,12,8,0,0,0,0,1,1
28648,26.04,B' D2 B' R2 B2 L2 U2 B D2 U2 L2 D F2 U L' F' R B' D' U' Rw',2021-01-03 17:14:15,10,12,8,0,0,0,0,1,1
28653,27.02,U2 L U' F2 U' B L D R' U2 R2 F' R2 L2 B D2 F2 L2 F L2 U2 Fw Uw2,2021-01-04 22:46:26,11,11,9,0,0,1,0,1,2
28654,26.5,L2 U2 B2 U' R2 F2 R2 B2 U' R2 F' D2 U' F2 R' B' L R U Rw Uw,2021-01-04 22:47:04,12,11,5,1,2,0,0,1,0
28656,25.45,F R U2 R2 U' L' B L2 D2 F' B' D2 B U2 R2 U2 R2 L' U Rw Uw,2021-01-04 22:48:28,10,12,8,0,0,1,0,2,1
28658,23.17,F' R2 B R' B2 R' B' D2 L2 U R2 B2 R2 L2 U D2 F' L2 Fw' Uw',2021-01-04 22:49:56,11,14,8,0,0,0,0,3,1
28660,23.33,F R2 B' L2 F' L2 F D2 U2 F L2 F' L R B' U2 R' D' U2 R' F2 Fw,2021-01-05 14:56:48,10,11,7,0,0,0,0,0,0
28667,23.2,F2 U' R' L' F R D2 F' U L2 F2 R2 L2 U2 B2 D F2 U2 L2 D' Rw2,2021-01-05 15:04:28,12,13,7,0,1,0,0,2,1
28668,20.09,L2 D2 L B2 R' U2 B2 U2 F2 U2 L2 R' U' B' L R' U2 B' D U' R' Rw,2021-01-05 15:05:02,10,12,8,0,0,0,0,1,1
28669,25.5,F R' B L D B' R U L2 F2 L2 F D2 B L2 F D2 B U2 Rw Uw2,2021-01-05 15:05:32,12,13,5,0,2,0,0,2,0
28670,21.79,R2 U2 R2 B' D2 B2 D2 R2 F' L2 F' U L U L2 D F' R U2 B L Rw' Uw2,2021-01-05 15:06:59,9,10,6,1,0,0,1,0,0
28673,22.1,D' L2 R2 F2 U' F2 D' B2 D B' D R2 F2 L2 D2 F R D F2 Rw2 Uw2,2021-01-05 15:08:50,12,13,7,0,1,0,0,2,1
28674,26.34,L R2 B2 F R2 F L2 D2 B L2 B R U' B2 R B L' F2 L2 Rw,2021-01-05 15:09:23,12,13,7,1,0,0,1,3,1
28676,22.58,U B' R' D' L' D' B F2 U2 R B2 D2 R2 U2 R D2 F2 L' D' R Rw',2021-01-05 15:13:31,11,11,7,0,1,0,0,0,1
28677,21.09,U R B' D F' D F' U R2 B2 R' U2 F2 R D2 L' D2 R' F' Fw Uw2,2021-01-05 15:14:29,10,10,8,1,0,1,0,1,1
28678,21.73,B' L F' D B2 F2 U' R2 D' R2 D2 R2 U' L F' L' D2 F' Fw Uw',2021-01-05 15:15:16,10,9,7,0,1,2,0,0,1
28679,21.77,B2 U2 F' L2 U2 B' R2 F L2 B' U2 F2 U' F' R B2 F L R2 B Rw' Uw,2021-01-05 15:15:51,10,12,6,0,1,1,0,2,0
28682,19.14,B' L' B D2 F2 R B' R U' L2 U2 F2 D L2 F2 R2 F2 D2 R2 U R Fw',2021-01-05 15:18:29,10,11,7,0,0,1,1,1,1
28683,20.56,L U2 F' R2 F2 U B R2 L' F2 R D2 R' B2 D2 R' U2 R' D B Uw',2021-01-05 15:19:23,10,10,8,1,0,1,0,1,1
28685,23.05,R2 F L2 B2 D2 L2 U2 F2 D2 F' U2 D R F L' F2 L2 F D U2 Rw Uw,2021-01-05 15:21:10,11,14,6,0,1,0,0,3,0
28687,21.86,R D2 B2 R F2 L2 B2 F2 L F2 R2 D2 B L2 D' L2 D L' U L2 Rw',2021-01-05 15:22:39,12,13,9,0,0,0,0,2,2
28688,21.09,R2 D' B2 D F2 R2 U' F2 R2 D' F2 D R D F R U2 L B R2 F' Rw' Uw',2021-01-05 15:23:20,11,12,8,1,0,0,0,2,1
28691,18.6,U2 B2 L2 D' B2 U L2 U' B2 R2 B L2 U2 R' B2 L2 B2 F R' Rw2 Uw,2021-01-05 15:25:43,9,8,8,1,0,2,0,0,1
